Predictor variable,Categorical,Sample average
Alt_mean,false,100.22653721682848
Arable,false,0.23275080914563925
BL,false,0.10119741067326474
Coast,false,0.004223300924699476
Conif,false,0.02585760527215054
ImGrass,false,0.42334951492008366
SemiNat,false,0.033203883316596926
Slope_meanDeg,false,2.780582546416224
Upland,false,0.02723300977818017
Urban,false,0.14411003253510082
Water,false,0.009320388210509394
aspect,false,177.8463746984414
bio1,false,9.895543154775131
bio12,false,833.980123476689
bio18,false,180.75758887726127
bio2,false,7.5928338685082
bio3,false,39.03546104924964
bio4,false,450.68124685935607
bio5,false,21.051082535469032
bio6,false,1.6274676411849684
bio8,false,7.857420988453245
bio9,false,11.050692942535992
